15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,,125mm Copper Pipe,,150mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0036,0,0.0036,0.888,0.0036,1.88,0.0036,3.675,0.0036,6.316,0.0036,14.948,0.0036,29.858,0.0036,47.849,0.0036,103.163,,,,
0.0037,0,0.0037,0.896,0.0037,1.922,0.0037,3.713,0.0037,6.412,0.0037,15.159,0.0037,30.528,0.0037,48.806,0.0037,104.885,,,,
0.0038,0,0.0038,0.903,0.0038,1.964,0.0038,3.751,0.0038,6.507,0.0038,15.369,0.0038,31.198,0.0038,49.763,0.0038,106.608,,,,
0.0039,0,0.0039,0.911,0.0039,2.006,0.0039,3.79,0.0039,6.603,0.0039,15.58,0.0039,31.868,0.0039,50.72,0.0039,108.33,,,,
0.004,0,0.004,0.919,0.004,2.048,0.004,3.828,0.004,6.699,0.004,15.79,0.004,32.537,0.004,51.677,0.004,110.053,,,,
0.0041,0,0.0041,0.93,0.0041,2.073,0.0041,3.889,0.0041,6.775,0.0041,16.029,0.0041,32.824,0.0041,52.06,0.0041,111.661,,,,
0.0042,0,0.0042,0.942,0.0042,2.098,0.0042,3.95,0.0042,6.852,0.0042,16.269,0.0042,33.112,0.0042,52.443,0.0042,113.268,,,,
0.0043,0,0.0043,0.953,0.0043,2.123,0.0043,4.012,0.0043,6.929,0.0043,16.508,0.0043,33.399,0.0043,52.825,0.0043,114.876,,,,
0.0044,0,0.0044,0.965,0.0044,2.147,0.0044,4.073,0.0044,7.005,0.0044,16.747,0.0044,33.686,0.0044,53.208,0.0044,116.484,,,,
0.0045,0,0.0045,0.976,0.0045,2.172,0.0045,4.134,0.0045,7.082,0.0045,16.986,0.0045,33.973,0.0045,53.591,0.0045,118.092,,,,
0.0046,0,0.0046,0.988,0.0046,2.197,0.0046,4.195,0.0046,7.158,0.0046,17.226,0.0046,34.26,0.0046,53.974,0.0046,119.699,,,,
0.0047,0,0.0047,0.999,0.0047,2.222,0.0047,4.257,0.0047,7.235,0.0047,17.465,0.0047,34.547,0.0047,54.357,0.0047,121.307,,,,
0.0048,0,0.0048,1.011,0.0048,2.247,0.0048,4.318,0.0048,7.311,0.0048,17.704,0.0048,34.834,0.0048,54.739,0.0048,122.915,,,,
0.0049,0,0.0049,1.022,0.0049,2.272,0.0049,4.379,0.0049,7.388,0.0049,17.943,0.0049,35.121,0.0049,55.122,0.0049,124.522,,,,
0.005,0.249,0.005,1.034,0.005,2.297,0.005,4.44,0.005,7.464,0.005,18.183,0.005,35.408,0.005,55.505,0.005,126.13,,,,
0.0051,0.251,0.0051,1.045,0.0051,2.325,0.0051,4.494,0.0051,7.541,0.0051,18.47,0.0051,35.695,0.0051,56.271,0.0051,127.489,,,,
0.0052,0.253,0.0052,1.057,0.0052,2.354,0.0052,4.548,0.0052,7.618,0.0052,18.757,0.0052,35.983,0.0052,57.036,0.0052,128.848,,,,
0.0053,0.255,0.0053,1.068,0.0053,2.383,0.0053,4.601,0.0053,7.694,0.0053,19.044,0.0053,36.27,0.0053,57.802,0.0053,130.207,,,,
0.0054,0.256,0.0054,1.079,0.0054,2.412,0.0054,4.655,0.0054,7.771,0.0054,19.331,0.0054,36.557,0.0054,58.567,0.0054,131.566,,,,
0.0055,0.258,0.0055,1.091,0.0055,2.44,0.0055,4.708,0.0055,7.847,0.0055,19.618,0.0055,36.844,0.0055,59.333,0.0055,132.925,,,,
0.0056,0.26,0.0056,1.102,0.0056,2.469,0.0056,4.762,0.0056,7.924,0.0056,19.905,0.0056,37.131,0.0056,60.098,0.0056,134.284,,,,
0.0057,0.262,0.0057,1.114,0.0057,2.498,0.0057,4.816,0.0057,8,0.0057,20.192,0.0057,37.418,0.0057,60.864,0.0057,135.643,,,,
0.0058,0.264,0.0058,1.125,0.0058,2.526,0.0058,4.869,0.0058,8.077,0.0058,20.479,0.0058,37.705,0.0058,61.63,0.0058,137.002,,,,
0.0059,0.266,0.0059,1.137,0.0059,2.555,0.0059,4.923,0.0059,8.153,0.0059,20.767,0.0059,37.992,0.0059,62.395,0.0059,138.36,,,,
0.006,0.268,0.006,1.148,0.006,2.584,0.006,4.976,0.006,8.23,0.006,21.054,0.006,38.279,0.006,63.161,0.006,139.719,,,,
0.0061,0.272,0.0061,1.158,0.0061,2.609,0.0061,5.015,0.0061,8.326,0.0061,21.245,0.0061,38.662,0.0061,63.544,,,,,,
0.0062,0.276,0.0062,1.168,0.0062,2.634,0.0062,5.053,0.0062,8.421,0.0062,21.436,0.0062,39.045,0.0062,63.926,,,,,,
0.0063,0.279,0.0063,1.177,0.0063,2.658,0.0063,5.091,0.0063,8.517,0.0063,21.628,0.0063,39.428,0.0063,64.309,,,,,,
0.0064,0.283,0.0064,1.187,0.0064,2.683,0.0064,5.129,0.0064,8.613,0.0064,21.819,0.0064,39.81,0.0064,64.692,,,,,,
0.0065,0.287,0.0065,1.196,0.0065,2.708,0.0065,5.168,0.0065,8.709,0.0065,22.011,0.0065,40.193,0.0065,65.075,,,,,,
0.0066,0.291,0.0066,1.206,0.0066,2.733,0.0066,5.206,0.0066,8.804,0.0066,22.202,0.0066,40.576,0.0066,65.458,,,,,,
0.0067,0.295,0.0067,1.215,0.0067,2.758,0.0067,5.244,0.0067,8.9,0.0067,22.393,0.0067,40.959,0.0067,65.84,,,,,,
0.0068,0.299,0.0068,1.225,0.0068,2.783,0.0068,5.283,0.0068,8.996,0.0068,22.585,0.0068,41.342,0.0068,66.223,,,,,,
0.0069,0.302,0.0069,1.235,0.0069,2.808,0.0069,5.321,0.0069,9.091,0.0069,22.776,0.0069,41.724,0.0069,66.606,,,,,,
0.007,0.306,0.007,1.244,0.007,2.833,0.007,5.359,0.007,9.187,0.007,22.968,0.007,42.107,0.007,66.989,,,,,,
0.0071,0.31,0.0071,1.252,0.0071,2.858,0.0071,5.397,0.0071,9.273,0.0071,23.159,0.0071,42.394,0.0071,67.563,,,,,,
0.0072,0.314,0.0072,1.259,0.0072,2.882,0.0072,5.436,0.0072,9.359,0.0072,23.35,0.0072,42.681,0.0072,68.137,,,,,,
0.0073,0.318,0.0073,1.267,0.0073,2.907,0.0073,5.474,0.0073,9.445,0.0073,23.542,0.0073,42.968,0.0073,68.711,,,,,,
0.0074,0.322,0.0074,1.275,0.0074,2.932,0.0074,5.512,0.0074,9.532,0.0074,23.733,0.0074,43.256,0.0074,69.285,,,,,,
0.0075,0.325,0.0075,1.282,0.0075,2.957,0.0075,5.55,0.0075,9.618,0.0075,23.925,0.0075,43.543,0.0075,69.86,,,,,,
0.0076,0.329,0.0076,1.29,0.0076,2.982,0.0076,5.589,0.0076,9.704,0.0076,24.116,0.0076,43.83,0.0076,70.434,,,,,,
0.0077,0.333,0.0077,1.298,0.0077,3.007,0.0077,5.627,0.0077,9.79,0.0077,24.307,0.0077,44.117,0.0077,71.008,,,,,,
0.0078,0.337,0.0078,1.305,0.0078,3.032,0.0078,5.665,0.0078,9.876,0.0078,24.499,0.0078,44.404,0.0078,71.582,,,,,,
0.0079,0.341,0.0079,1.313,0.0079,3.057,0.0079,5.704,0.0079,9.962,0.0079,24.69,0.0079,44.691,0.0079,72.156,,,,,,
0.008,0.345,0.008,1.321,0.008,3.081,0.008,5.742,0.008,10.048,0.008,24.882,0.008,44.978,0.008,72.731,,,,,,
0.0081,0.35,0.0081,1.33,0.0081,3.099,0.0081,5.79,0.0081,10.115,0.0081,25.169,0.0081,43.638,0.0081,73.161,,,,,,
