15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,,125mm Copper Pipe,,150mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0161,0.593,0.0161,1.83,0.0161,4.249,0.0161,8.536,0.0161,14.661,0.0161,34.777,0.0161,66.702,0.0161,106.895,,,,,,
0.0162,0.595,0.0162,1.835,0.0162,4.266,0.0162,8.566,0.0162,14.712,0.0162,34.879,0.0162,66.946,0.0162,107.246,,,,,,
0.0163,0.598,0.0163,1.84,0.0163,4.283,0.0163,8.596,0.0163,14.763,0.0163,34.981,0.0163,67.191,0.0163,107.597,,,,,,
0.0164,0.6,0.0164,1.845,0.0164,4.3,0.0164,8.626,0.0164,14.814,0.0164,35.083,0.0164,67.435,0.0164,107.948,,,,,,
0.0165,0.602,0.0165,1.85,0.0165,4.317,0.0165,8.655,0.0165,14.865,0.0165,35.185,0.0165,67.68,0.0165,108.298,,,,,,
0.0166,0.604,0.0166,1.855,0.0166,4.334,0.0166,8.685,0.0166,14.916,0.0166,35.287,0.0166,67.924,0.0166,108.649,,,,,,
0.0167,0.606,0.0167,1.86,0.0167,4.351,0.0167,8.715,0.0167,14.967,0.0167,35.389,0.0167,68.169,0.0167,109,,,,,,
0.0168,0.608,0.0168,1.865,0.0168,4.368,0.0168,8.745,0.0168,15.018,0.0168,35.491,0.0168,68.414,0.0168,109.351,,,,,,
0.0169,0.61,0.0169,1.871,0.0169,4.385,0.0169,8.774,0.0169,15.069,0.0169,35.593,0.0169,68.658,0.0169,109.702,,,,,,
0.017,0.612,0.017,1.876,0.017,4.402,0.017,8.804,0.017,15.12,0.017,35.695,0.017,68.903,0.017,110.053,,,,,,
0.0171,0.615,0.0171,1.891,0.0171,4.49,0.0171,8.836,0.0171,15.178,0.0171,35.845,0.0171,69.126,0.0171,110.397,,,,,,
0.0172,0.618,0.0172,1.906,0.0172,4.578,0.0172,8.868,0.0172,15.235,0.0172,35.995,0.0172,69.349,0.0172,110.742,,,,,,
0.0173,0.62,0.0173,1.922,0.0173,4.666,0.0173,8.9,0.0173,15.293,0.0173,36.145,0.0173,69.573,0.0173,111.086,,,,,,
0.0174,0.623,0.0174,1.937,0.0174,4.754,0.0174,8.932,0.0174,15.35,0.0174,36.295,0.0174,69.796,0.0174,111.431,,,,,,
0.0175,0.625,0.0175,1.952,0.0175,4.842,0.0175,8.964,0.0175,15.407,0.0175,36.445,0.0175,70.019,0.0175,111.775,,,,,,
0.0176,0.628,0.0176,1.968,0.0176,4.93,0.0176,8.996,0.0176,15.465,0.0176,36.595,0.0176,70.242,0.0176,112.12,,,,,,
0.0177,0.63,0.0177,1.983,0.0177,5.018,0.0177,9.028,0.0177,15.522,0.0177,36.745,0.0177,70.466,0.0177,112.465,,,,,,
0.0178,0.633,0.0178,1.998,0.0178,5.106,0.0178,9.059,0.0178,15.58,0.0178,36.895,0.0178,70.689,0.0178,112.809,,,,,,
0.0179,0.635,0.0179,2.013,0.0179,5.194,0.0179,9.091,0.0179,15.637,0.0179,37.045,0.0179,70.912,0.0179,113.154,,,,,,
0.018,0.638,0.018,2.029,0.018,5.283,0.018,9.123,0.018,15.695,0.018,37.195,0.018,71.136,0.018,113.498,,,,,,
0.0181,0.641,0.0181,2.044,0.0181,5.371,0.0181,9.155,0.0181,15.752,0.0181,37.345,0.0181,71.359,0.0181,113.843,,,,,,
0.0182,0.643,0.0182,2.059,0.0182,5.459,0.0182,9.187,0.0182,15.809,0.0182,37.495,0.0182,71.582,0.0182,114.187,,,,,,
0.0183,0.646,0.0183,2.075,0.0183,5.547,0.0183,9.219,0.0183,15.867,0.0183,37.644,0.0183,71.806,0.0183,114.532,,,,,,
0.0184,0.648,0.0184,2.09,0.0184,5.635,0.0184,9.251,0.0184,15.924,0.0184,37.794,0.0184,72.029,0.0184,114.876,,,,,,
0.0185,0.651,0.0185,2.105,0.0185,5.723,0.0185,9.283,0.0185,15.982,0.0185,37.944,0.0185,72.252,0.0185,115.221,,,,,,
0.0186,0.653,0.0186,2.121,0.0186,5.811,0.0186,9.315,0.0186,16.039,0.0186,38.094,0.0186,72.475,0.0186,115.565,,,,,,
0.0187,0.656,0.0187,2.136,0.0187,5.899,0.0187,9.347,0.0187,16.096,0.0187,38.244,0.0187,72.699,0.0187,115.91,,,,,,
0.0188,0.658,0.0188,2.151,0.0188,5.987,0.0188,9.378,0.0188,16.154,0.0188,38.394,0.0188,72.922,0.0188,116.254,,,,,,
0.0189,0.661,0.0189,2.167,0.0189,6.075,0.0189,9.41,0.0189,16.211,0.0189,38.544,0.0189,73.145,0.0189,116.599,,,,,,
0.019,0.664,0.019,2.182,0.019,6.163,0.019,9.442,0.019,16.269,0.019,38.694,0.019,73.369,0.019,116.943,,,,,,
0.0191,0.666,0.0191,2.197,0.0191,6.251,0.0191,9.474,0.0191,16.326,0.0191,38.844,0.0191,73.592,0.0191,117.288,,,,,,
0.0192,0.669,0.0192,2.213,0.0192,6.339,0.0192,9.506,0.0192,16.384,0.0192,38.994,0.0192,73.815,0.0192,117.632,,,,,,
0.0193,0.671,0.0193,2.228,0.0193,6.427,0.0193,9.538,0.0193,16.441,0.0193,39.144,0.0193,74.039,0.0193,117.977,,,,,,
0.0194,0.674,0.0194,2.243,0.0194,6.515,0.0194,9.57,0.0194,16.498,0.0194,39.294,0.0194,74.262,0.0194,118.321,,,,,,
0.0195,0.676,0.0195,2.258,0.0195,6.603,0.0195,9.602,0.0195,16.556,0.0195,39.444,0.0195,74.485,0.0195,118.666,,,,,,
0.0196,0.679,0.0196,2.274,0.0196,6.691,0.0196,9.634,0.0196,16.613,0.0196,39.594,0.0196,74.708,0.0196,119.01,,,,,,
0.0197,0.681,0.0197,2.289,0.0197,6.779,0.0197,9.666,0.0197,16.671,0.0197,39.743,0.0197,74.932,0.0197,119.355,,,,,,
0.0198,0.684,0.0198,2.304,0.0198,6.867,0.0198,9.697,0.0198,16.728,0.0198,39.893,0.0198,75.155,0.0198,119.699,,,,,,
0.0199,0.686,0.0199,2.32,0.0199,6.955,0.0199,9.729,0.0199,16.785,0.0199,40.043,0.0199,75.378,0.0199,120.044,,,,,,
0.02,0.689,0.02,2.335,0.02,7.043,0.02,9.761,0.02,16.843,0.02,40.193,0.02,75.602,0.02,120.388,,,,,,
0.0201,0.69,0.0201,2.34,0.0201,7.037,0.0201,9.787,0.0201,16.899,0.0201,40.308,0.0201,75.802,0.0201,120.716,,,,,,
0.0202,0.692,0.0202,2.346,0.0202,7.03,0.0202,9.813,0.0202,16.956,0.0202,40.423,0.0202,76.002,0.0202,121.043,,,,,,
0.0203,0.693,0.0203,2.351,0.0203,7.023,0.0203,9.839,0.0203,17.012,0.0203,40.538,0.0203,76.202,0.0203,121.37,,,,,,
0.0204,0.694,0.0204,2.356,0.0204,7.017,0.0204,9.865,0.0204,17.069,0.0204,40.653,0.0204,76.402,0.0204,121.697,,,,,,
0.0205,0.696,0.0205,2.362,0.0205,7.01,0.0205,9.89,0.0205,17.125,0.0205,40.767,0.0205,76.602,0.0205,122.025,,,,,,
0.0206,0.697,0.0206,2.367,0.0206,7.003,0.0206,9.916,0.0206,17.182,0.0206,40.882,0.0206,76.802,0.0206,122.352,,,,,,
0.0207,0.698,0.0207,2.373,0.0207,6.996,0.0207,9.942,0.0207,17.238,0.0207,40.997,0.0207,77.002,0.0207,122.679,,,,,,
0.0208,0.7,0.0208,2.378,0.0208,6.99,0.0208,9.968,0.0208,17.295,0.0208,41.112,0.0208,77.202,0.0208,123.007,,,,,,
0.0209,0.701,0.0209,2.383,0.0209,6.983,0.0209,9.994,0.0209,17.351,0.0209,41.227,0.0209,77.402,0.0209,123.334,,,,,,
0.021,0.702,0.021,2.389,0.021,6.976,0.021,10.02,0.021,17.408,0.021,41.342,0.021,77.602,0.021,123.661,,,,,,
0.0211,0.704,0.0211,2.394,0.0211,6.97,0.0211,10.045,0.0211,17.464,0.0211,41.456,0.0211,77.802,0.0211,123.988,,,,,,
0.0212,0.705,0.0212,2.399,0.0212,6.963,0.0212,10.071,0.0212,17.52,0.0212,41.571,0.0212,78.002,0.0212,124.316,,,,,,
0.0213,0.706,0.0213,2.405,0.0213,6.956,0.0213,10.097,0.0213,17.577,0.0213,41.686,0.0213,78.202,0.0213,124.643,,,,,,
0.0214,0.708,0.0214,2.41,0.0214,6.95,0.0214,10.123,0.0214,17.633,0.0214,41.801,0.0214,78.402,0.0214,124.97,,,,,,
0.0215,0.709,0.0215,2.415,0.0215,6.943,0.0215,10.149,0.0215,17.69,0.0215,41.916,0.0215,78.602,0.0215,125.298,,,,,,
0.0216,0.71,0.0216,2.421,0.0216,6.936,0.0216,10.175,0.0216,17.746,0.0216,42.031,0.0216,78.802,0.0216,125.625,,,,,,
0.0217,0.712,0.0217,2.426,0.0217,6.93,0.0217,10.2,0.0217,17.803,0.0217,42.145,0.0217,79.002,0.0217,125.952,,,,,,
0.0218,0.713,0.0218,2.431,0.0218,6.923,0.0218,10.226,0.0218,17.859,0.0218,42.26,0.0218,79.202,0.0218,126.28,,,,,,
0.0219,0.714,0.0219,2.437,0.0219,6.916,0.0219,10.252,0.0219,17.916,0.0219,42.375,0.0219,79.402,0.0219,126.607,,,,,,
0.022,0.716,0.022,2.442,0.022,6.909,0.022,10.278,0.022,17.972,0.022,42.49,0.022,79.602,0.022,126.934,,,,,,
0.0221,0.717,0.0221,2.448,0.0221,6.903,0.0221,10.304,0.0221,18.029,0.0221,42.605,0.0221,79.802,0.0221,127.261,,,,,,
0.0222,0.719,0.0222,2.453,0.0222,6.896,0.0222,10.33,0.0222,18.085,0.0222,42.72,0.0222,80.002,0.0222,127.589,,,,,,
0.0223,0.72,0.0223,2.458,0.0223,6.889,0.0223,10.356,0.0223,18.142,0.0223,42.835,0.0223,80.202,0.0223,127.916,,,,,,
0.0224,0.721,0.0224,2.464,0.0224,6.883,0.0224,10.381,0.0224,18.198,0.0224,42.949,0.0224,80.402,0.0224,128.243,,,,,,
0.0225,0.723,0.0225,2.469,0.0225,6.876,0.0225,10.407,0.0225,18.254,0.0225,43.064,0.0225,80.602,0.0225,128.571,,,,,,
0.0226,0.724,0.0226,2.474,0.0226,6.869,0.0226,10.433,0.0226,18.311,0.0226,43.179,0.0226,80.802,0.0226,128.898,,,,,,
0.0227,0.725,0.0227,2.48,0.0227,6.863,0.0227,10.459,0.0227,18.367,0.0227,43.294,0.0227,81.002,0.0227,129.225,,,,,,
0.0228,0.727,0.0228,2.485,0.0228,6.856,0.0228,10.485,0.0228,18.424,0.0228,43.409,0.0228,81.202,0.0228,129.552,,,,,,
0.0229,0.728,0.0229,2.49,0.0229,6.849,0.0229,10.511,0.0229,18.48,0.0229,43.524,0.0229,81.402,0.0229,129.88,,,,,,
0.023,0.729,0.023,2.496,0.023,6.842,0.023,10.536,0.023,18.537,0.023,43.638,0.023,81.602,0.023,130.207,,,,,,
0.0231,0.731,0.0231,2.501,0.0231,6.836,0.0231,10.562,0.0231,18.593,0.0231,43.753,0.0231,81.802,0.0231,130.534,,,,,,
0.0232,0.732,0.0232,2.507,0.0232,6.829,0.0232,10.588,0.0232,18.65,0.0232,43.868,0.0232,82.002,0.0232,130.862,,,,,,
0.0233,0.733,0.0233,2.512,0.0233,6.822,0.0233,10.614,0.0233,18.706,0.0233,43.983,0.0233,82.202,0.0233,131.189,,,,,,
0.0234,0.735,0.0234,2.517,0.0234,6.816,0.0234,10.64,0.0234,18.763,0.0234,44.098,0.0234,82.402,0.0234,131.516,,,,,,
0.0235,0.736,0.0235,2.523,0.0235,6.809,0.0235,10.666,0.0235,18.819,0.0235,44.213,0.0235,82.602,0.0235,131.843,,,,,,
0.0236,0.737,0.0236,2.528,0.0236,6.802,0.0236,10.691,0.0236,18.876,0.0236,44.327,0.0236,82.802,0.0236,132.171,,,,,,
0.0237,0.739,0.0237,2.533,0.0237,6.796,0.0237,10.717,0.0237,18.932,0.0237,44.442,0.0237,83.002,0.0237,132.498,,,,,,
0.0238,0.74,0.0238,2.539,0.0238,6.789,0.0238,10.743,0.0238,18.988,0.0238,44.557,0.0238,83.202,0.0238,132.825,,,,,,
0.0239,0.741,0.0239,2.544,0.0239,6.782,0.0239,10.769,0.0239,19.045,0.0239,44.672,0.0239,83.402,0.0239,133.153,,,,,,
0.024,0.743,0.024,2.549,0.024,6.775,0.024,10.795,0.024,19.101,0.024,44.787,0.024,83.602,0.024,133.48,,,,,,
0.0241,0.744,0.0241,2.555,0.0241,6.769,0.0241,10.821,0.0241,19.158,0.0241,44.902,0.0241,83.802,0.0241,133.807,,,,,,
0.0242,0.745,0.0242,2.56,0.0242,6.762,0.0242,10.846,0.0242,19.214,0.0242,45.016,0.0242,84.002,0.0242,134.134,,,,,,
0.0243,0.747,0.0243,2.565,0.0243,6.755,0.0243,10.872,0.0243,19.271,0.0243,45.131,0.0243,84.202,0.0243,134.462,,,,,,
0.0244,0.748,0.0244,2.571,0.0244,6.749,0.0244,10.898,0.0244,19.327,0.0244,45.246,0.0244,84.402,0.0244,134.789,,,,,,
0.0245,0.749,0.0245,2.576,0.0245,6.742,0.0245,10.924,0.0245,19.384,0.0245,45.361,0.0245,84.602,0.0245,135.116,,,,,,
0.0246,0.751,0.0246,2.582,0.0246,6.735,0.0246,10.95,0.0246,19.44,0.0246,45.476,0.0246,84.802,0.0246,135.444,,,,,,
0.0247,0.752,0.0247,2.587,0.0247,6.729,0.0247,10.976,0.0247,19.497,0.0247,45.591,0.0247,85.002,0.0247,135.771,,,,,,
0.0248,0.753,0.0248,2.592,0.0248,6.722,0.0248,11.001,0.0248,19.553,0.0248,45.705,0.0248,85.202,0.0248,136.098,,,,,,
0.0249,0.755,0.0249,2.598,0.0249,6.715,0.0249,11.027,0.0249,19.61,0.0249,45.82,0.0249,85.402,0.0249,136.425,,,,,,
0.025,0.756,0.025,2.603,0.025,6.708,0.025,11.053,0.025,19.666,0.025,45.935,0.025,85.602,0.025,136.753,,,,,,
0.0251,0.757,0.0251,2.608,0.0251,6.702,0.0251,11.079,0.0251,19.722,0.0251,46.05,0.0251,85.802,0.0251,137.08,,,,,,
0.0252,0.759,0.0252,2.614,0.0252,6.695,0.0252,11.105,0.0252,19.779,0.0252,46.165,0.0252,86.002,0.0252,137.407,,,,,,
0.0253,0.76,0.0253,2.619,0.0253,6.688,0.0253,11.131,0.0253,19.835,0.0253,46.28,0.0253,86.202,0.0253,137.735,,,,,,
0.0254,0.761,0.0254,2.624,0.0254,6.682,0.0254,11.156,0.0254,19.892,0.0254,46.394,0.0254,86.402,0.0254,138.062,,,,,,
0.0255,0.763,0.0255,2.63,0.0255,6.675,0.0255,11.182,0.0255,19.948,0.0255,46.509,0.0255,86.602,0.0255,138.389,,,,,,
0.0256,0.764,0.0256,2.635,0.0256,6.668,0.0256,11.208,0.0256,20.005,0.0256,46.624,0.0256,86.802,0.0256,138.716,,,,,,
0.0257,0.765,0.0257,2.641,0.0257,6.662,0.0257,11.234,0.0257,20.061,0.0257,46.739,0.0257,87.002,0.0257,139.044,,,,,,
0.0258,0.767,0.0258,2.646,0.0258,6.655,0.0258,11.26,0.0258,20.118,0.0258,46.854,0.0258,87.202,0.0258,139.371,,,,,,
0.0259,0.768,0.0259,2.651,0.0259,6.648,0.0259,11.286,0.0259,20.174,0.0259,46.969,0.0259,87.402,0.0259,139.698,,,,,,
0.026,0.769,0.026,2.657,0.026,6.641,0.026,11.312,0.026,20.231,0.026,47.084,0.026,87.602,0.026,140.026,,,,,,
0.0261,0.771,0.0261,2.662,0.0261,6.635,0.0261,11.337,0.0261,20.287,0.0261,47.198,0.0261,87.802,0.0261,140.353,,,,,,
0.0262,0.772,0.0262,2.667,0.0262,6.628,0.0262,11.363,0.0262,20.344,0.0262,47.313,0.0262,88.002,0.0262,140.68,,,,,,
0.0263,0.773,0.0263,2.673,0.0263,6.621,0.0263,11.389,0.0263,20.4,0.0263,47.428,0.0263,88.202,0.0263,141.007,,,,,,
0.0264,0.775,0.0264,2.678,0.0264,6.615,0.0264,11.415,0.0264,20.456,0.0264,47.543,0.0264,88.402,0.0264,141.335,,,,,,
0.0265,0.776,0.0265,2.683,0.0265,6.608,0.0265,11.441,0.0265,20.513,0.0265,47.658,0.0265,88.602,0.0265,141.662,,,,,,
0.0266,0.777,0.0266,2.689,0.0266,6.601,0.0266,11.467,0.0266,20.569,0.0266,47.773,0.0266,88.802,0.0266,141.989,,,,,,
0.0267,0.779,0.0267,2.694,0.0267,6.595,0.0267,11.492,0.0267,20.626,0.0267,47.887,0.0267,89.002,0.0267,142.317,,,,,,
0.0268,0.78,0.0268,2.699,0.0268,6.588,0.0268,11.518,0.0268,20.682,0.0268,48.002,0.0268,89.202,0.0268,142.644,,,,,,
0.0269,0.781,0.0269,2.705,0.0269,6.581,0.0269,11.544,0.0269,20.739,0.0269,48.117,0.0269,89.402,0.0269,142.971,,,,,,
0.027,0.783,0.027,2.71,0.027,6.574,0.027,11.57,0.027,20.795,0.027,48.232,0.027,89.602,0.027,143.298,,,,,,
0.0271,0.784,0.0271,2.716,0.0271,6.568,0.0271,11.596,0.0271,20.852,0.0271,48.347,0.0271,89.802,0.0271,143.626,,,,,,
0.0272,0.785,0.0272,2.721,0.0272,6.561,0.0272,11.622,0.0272,20.908,0.0272,48.462,0.0272,90.002,0.0272,143.953,,,,,,
0.0273,0.787,0.0273,2.726,0.0273,6.554,0.0273,11.647,0.0273,20.965,0.0273,48.576,0.0273,90.202,0.0273,144.28,,,,,,
0.0274,0.788,0.0274,2.732,0.0274,6.548,0.0274,11.673,0.0274,21.021,0.0274,48.691,0.0274,90.402,0.0274,144.608,,,,,,
0.0275,0.79,0.0275,2.737,0.0275,6.541,0.0275,11.699,0.0275,21.078,0.0275,48.806,0.0275,90.602,0.0275,144.935,,,,,,
0.0276,0.791,0.0276,2.742,0.0276,6.534,0.0276,11.725,0.0276,21.134,0.0276,48.921,0.0276,90.802,0.0276,145.262,,,,,,
0.0277,0.792,0.0277,2.748,0.0277,6.528,0.0277,11.751,0.0277,21.19,0.0277,49.036,0.0277,91.002,0.0277,145.589,,,,,,
0.0278,0.794,0.0278,2.753,0.0278,6.521,0.0278,11.777,0.0278,21.247,0.0278,49.151,0.0278,91.202,0.0278,145.917,,,,,,
0.0279,0.795,0.0279,2.758,0.0279,6.514,0.0279,11.802,0.0279,21.303,0.0279,49.265,0.0279,91.402,0.0279,146.244,,,,,,
0.028,0.796,0.028,2.764,0.028,6.507,0.028,11.828,0.028,21.36,0.028,49.38,0.028,91.602,0.028,146.571,,,,,,
0.0281,0.798,0.0281,2.769,0.0281,6.501,0.0281,11.854,0.0281,21.416,0.0281,49.495,0.0281,91.802,0.0281,146.899,,,,,,
0.0282,0.799,0.0282,2.774,0.0282,6.494,0.0282,11.88,0.0282,21.473,0.0282,49.61,0.0282,92.002,0.0282,147.226,,,,,,
0.0283,0.8,0.0283,2.78,0.0283,6.487,0.0283,11.906,0.0283,21.529,0.0283,49.725,0.0283,92.202,0.0283,147.553,,,,,,
0.0284,0.802,0.0284,2.785,0.0284,6.481,0.0284,11.932,0.0284,21.586,0.0284,49.84,0.0284,92.402,0.0284,147.881,,,,,,
0.0285,0.803,0.0285,2.791,0.0285,6.474,0.0285,11.957,0.0285,21.642,0.0285,49.954,0.0285,92.602,0.0285,148.208,,,,,,
0.0286,0.804,0.0286,2.796,0.0286,6.467,0.0286,11.983,0.0286,21.699,0.0286,50.069,0.0286,92.802,0.0286,148.535,,,,,,
0.0287,0.806,0.0287,2.801,0.0287,6.461,0.0287,12.009,0.0287,21.755,0.0287,50.184,0.0287,93.002,0.0287,148.862,,,,,,
0.0288,0.807,0.0288,2.807,0.0288,6.454,0.0288,12.035,0.0288,21.812,0.0288,50.299,0.0288,93.202,0.0288,149.19,,,,,,
0.0289,0.808,0.0289,2.812,0.0289,6.447,0.0289,12.061,0.0289,21.868,0.0289,50.414,0.0289,93.402,0.0289,149.517,,,,,,
0.029,0.81,0.029,2.817,0.029,6.44,0.029,12.087,0.029,21.924,0.029,50.529,0.029,93.602,0.029,149.844,,,,,,
0.0291,0.811,0.0291,2.823,0.0291,6.434,0.0291,12.113,0.0291,21.981,0.0291,50.643,0.0291,93.802,0.0291,150.172,,,,,,
0.0292,0.812,0.0292,2.828,0.0292,6.427,0.0292,12.138,0.0292,22.037,0.0292,50.758,0.0292,94.002,0.0292,150.499,,,,,,
0.0293,0.814,0.0293,2.833,0.0293,6.42,0.0293,12.164,0.0293,22.094,0.0293,50.873,0.0293,94.202,0.0293,150.826,,,,,,
0.0294,0.815,0.0294,2.839,0.0294,6.414,0.0294,12.19,0.0294,22.15,0.0294,50.988,0.0294,94.402,0.0294,151.153,,,,,,
0.0295,0.816,0.0295,2.844,0.0295,6.407,0.0295,12.216,0.0295,22.207,0.0295,51.103,0.0295,94.602,0.0295,151.481,,,,,,
0.0296,0.818,0.0296,2.85,0.0296,6.4,0.0296,12.242,0.0296,22.263,0.0296,51.218,0.0296,94.802,0.0296,151.808,,,,,,
0.0297,0.819,0.0297,2.855,0.0297,6.394,0.0297,12.268,0.0297,22.32,0.0297,51.333,0.0297,95.002,0.0297,152.135,,,,,,
0.0298,0.82,0.0298,2.86,0.0298,6.387,0.0298,12.293,0.0298,22.376,0.0298,51.447,0.0298,95.202,0.0298,152.463,,,,,,
0.0299,0.822,0.0299,2.866,0.0299,6.38,0.0299,12.319,0.0299,22.433,0.0299,51.562,0.0299,95.402,0.0299,152.79,,,,,,
0.03,0.823,0.03,2.871,0.03,6.374,0.03,12.345,0.03,22.489,0.03,51.677,0.03,95.603,0.03,153.117,,,,,,
0.0301,0.824,0.0301,2.877,0.0301,6.384,0.0301,12.369,0.0301,22.527,0.0301,51.754,0.0301,95.776,0.0301,153.213,,,,,,
0.0302,0.826,0.0302,2.882,0.0302,6.395,0.0302,12.393,0.0302,22.566,0.0302,51.83,0.0302,95.949,0.0302,153.309,,,,,,
0.0303,0.827,0.0303,2.888,0.0303,6.406,0.0303,12.417,0.0303,22.604,0.0303,51.907,0.0303,96.122,0.0303,153.404,,,,,,
0.0304,0.828,0.0304,2.894,0.0304,6.417,0.0304,12.441,0.0304,22.642,0.0304,51.983,0.0304,96.295,0.0304,153.5,,,,,,
0.0305,0.83,0.0305,2.9,0.0305,6.428,0.0305,12.465,0.0305,22.68,0.0305,52.06,0.0305,96.469,0.0305,153.596,,,,,,
0.0306,0.831,0.0306,2.905,0.0306,6.439,0.0306,12.489,0.0306,22.719,0.0306,52.136,0.0306,96.642,0.0306,153.691,,,,,,
0.0307,0.832,0.0307,2.911,0.0307,6.45,0.0307,12.513,0.0307,22.757,0.0307,52.213,0.0307,96.815,0.0307,153.787,,,,,,
0.0308,0.834,0.0308,2.917,0.0308,6.461,0.0308,12.536,0.0308,22.795,0.0308,52.289,0.0308,96.988,0.0308,153.883,,,,,,
0.0309,0.835,0.0309,2.923,0.0309,6.472,0.0309,12.56,0.0309,22.834,0.0309,52.366,0.0309,97.161,0.0309,153.978,,,,,,
0.031,0.836,0.031,2.928,0.031,6.483,0.031,12.584,0.031,22.872,0.031,52.443,0.031,97.335,0.031,154.074,,,,,,
0.0311,0.838,0.0311,2.934,0.0311,6.494,0.0311,12.608,0.0311,22.91,0.0311,52.519,0.0311,97.508,0.0311,154.17,,,,,,
0.0312,0.839,0.0312,2.94,0.0312,6.504,0.0312,12.632,0.0312,22.948,0.0312,52.596,0.0312,97.681,0.0312,154.265,,,,,,
0.0313,0.84,0.0313,2.946,0.0313,6.515,0.0313,12.656,0.0313,22.987,0.0313,52.672,0.0313,97.854,0.0313,154.361,,,,,,
0.0314,0.842,0.0314,2.951,0.0314,6.526,0.0314,12.68,0.0314,23.025,0.0314,52.749,0.0314,98.027,0.0314,154.457,,,,,,
0.0315,0.843,0.0315,2.957,0.0315,6.537,0.0315,12.704,0.0315,23.063,0.0315,52.825,0.0315,98.201,0.0315,154.553,,,,,,
0.0316,0.844,0.0316,2.963,0.0316,6.548,0.0316,12.728,0.0316,23.102,0.0316,52.902,0.0316,98.374,0.0316,154.648,,,,,,
0.0317,0.846,0.0317,2.969,0.0317,6.559,0.0317,12.752,0.0317,23.14,0.0317,52.979,0.0317,98.547,0.0317,154.744,,,,,,
0.0318,0.847,0.0318,2.974,0.0318,6.57,0.0318,12.776,0.0318,23.178,0.0318,53.055,0.0318,98.72,0.0318,154.84,,,,,,
0.0319,0.848,0.0319,2.98,0.0319,6.581,0.0319,12.8,0.0319,23.216,0.0319,53.132,0.0319,98.894,0.0319,154.935,,,,,,
0.032,0.85,0.032,2.986,0.032,6.592,0.032,12.824,0.032,23.255,0.032,53.208,0.032,99.067,0.032,155.031,,,,,,
0.0321,0.851,0.0321,2.992,0.0321,6.603,0.0321,12.847,0.0321,23.293,0.0321,53.285,0.0321,99.24,0.0321,155.127,,,,,,
0.0322,0.852,0.0322,2.997,0.0322,6.614,0.0322,12.871,0.0322,23.331,0.0322,53.361,0.0322,99.413,0.0322,155.222,,,,,,
0.0323,0.854,0.0323,3.003,0.0323,6.624,0.0323,12.895,0.0323,23.37,0.0323,53.438,0.0323,99.586,0.0323,155.318,,,,,,
0.0324,0.855,0.0324,3.009,0.0324,6.635,0.0324,12.919,0.0324,23.408,0.0324,53.514,0.0324,99.76,0.0324,155.414,,,,,,
0.0325,0.856,0.0325,3.014,0.0325,6.646,0.0325,12.943,0.0325,23.446,0.0325,53.591,0.0325,99.933,0.0325,155.51,,,,,,
0.0326,0.858,0.0326,3.02,0.0326,6.657,0.0326,12.967,0.0326,23.484,0.0326,53.668,0.0326,100.106,0.0326,155.605,,,,,,
0.0327,0.859,0.0327,3.026,0.0327,6.668,0.0327,12.991,0.0327,23.523,0.0327,53.744,0.0327,100.279,0.0327,155.701,,,,,,
0.0328,0.861,0.0328,3.032,0.0328,6.679,0.0328,13.015,0.0328,23.561,0.0328,53.821,0.0328,100.452,0.0328,155.797,,,,,,
0.0329,0.862,0.0329,3.037,0.0329,6.69,0.0329,13.039,0.0329,23.599,0.0329,53.897,0.0329,100.626,0.0329,155.892,,,,,,
0.033,0.863,0.033,3.043,0.033,6.701,0.033,13.063,0.033,23.637,0.033,53.974,0.033,100.799,0.033,155.988,,,,,,
0.0331,0.865,0.0331,3.049,0.0331,6.712,0.0331,13.087,0.0331,23.676,0.0331,54.05,0.0331,100.972,0.0331,156.084,,,,,,
0.0332,0.866,0.0332,3.055,0.0332,6.723,0.0332,13.111,0.0332,23.714,0.0332,54.127,0.0332,101.145,0.0332,156.179,,,,,,
0.0333,0.867,0.0333,3.06,0.0333,6.734,0.0333,13.135,0.0333,23.752,0.0333,54.203,0.0333,101.319,0.0333,156.275,,,,,,
0.0334,0.869,0.0334,3.066,0.0334,6.744,0.0334,13.159,0.0334,23.791,0.0334,54.28,0.0334,101.492,0.0334,156.371,,,,,,
0.0335,0.87,0.0335,3.072,0.0335,6.755,0.0335,13.182,0.0335,23.829,0.0335,54.357,0.0335,101.665,0.0335,156.467,,,,,,
0.0336,0.871,0.0336,3.078,0.0336,6.766,0.0336,13.206,0.0336,23.867,0.0336,54.433,0.0336,101.838,0.0336,156.562,,,,,,
0.0337,0.873,0.0337,3.083,0.0337,6.777,0.0337,13.23,0.0337,23.905,0.0337,54.51,0.0337,102.011,0.0337,156.658,,,,,,
0.0338,0.874,0.0338,3.089,0.0338,6.788,0.0338,13.254,0.0338,23.944,0.0338,54.586,0.0338,102.185,0.0338,156.754,,,,,,
