15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,,125mm Copper Pipe,,150mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0036,0,0.0036,0.949,0.0036,2.009,0.0036,3.928,0.0036,6.752,0.0036,15.979,0.0036,31.917,0.0036,51.15,0.0036,110.278,,,,
0.0037,0,0.0037,0.958,0.0037,2.054,0.0037,3.969,0.0037,6.854,0.0037,16.204,0.0037,32.633,0.0037,52.173,0.0037,112.12,,,,
0.0038,0,0.0038,0.966,0.0038,2.099,0.0038,4.01,0.0038,6.956,0.0038,16.429,0.0038,33.349,0.0038,53.196,0.0038,113.961,,,,
0.0039,0,0.0039,0.974,0.0039,2.144,0.0039,4.051,0.0039,7.059,0.0039,16.654,0.0039,34.066,0.0039,54.219,0.0039,115.803,,,,
0.004,0,0.004,0.982,0.004,2.189,0.004,4.092,0.004,7.161,0.004,16.879,0.004,34.782,0.004,55.241,0.004,117.644,,,,
0.0041,0,0.0041,0.994,0.0041,2.216,0.0041,4.157,0.0041,7.243,0.0041,17.135,0.0041,35.089,0.0041,55.651,0.0041,119.363,,,,
0.0042,0,0.0042,1.007,0.0042,2.242,0.0042,4.223,0.0042,7.325,0.0042,17.391,0.0042,35.395,0.0042,56.06,0.0042,121.081,,,,
0.0043,0,0.0043,1.019,0.0043,2.269,0.0043,4.288,0.0043,7.406,0.0043,17.647,0.0043,35.702,0.0043,56.469,0.0043,122.8,,,,
0.0044,0,0.0044,1.031,0.0044,2.296,0.0044,4.354,0.0044,7.488,0.0044,17.902,0.0044,36.009,0.0044,56.878,0.0044,124.518,,,,
0.0045,0,0.0045,1.043,0.0045,2.322,0.0045,4.419,0.0045,7.57,0.0045,18.158,0.0045,36.316,0.0045,57.287,0.0045,126.237,,,,
0.0046,0,0.0046,1.056,0.0046,2.349,0.0046,4.485,0.0046,7.652,0.0046,18.414,0.0046,36.623,0.0046,57.697,0.0046,127.956,,,,
0.0047,0,0.0047,1.068,0.0047,2.375,0.0047,4.55,0.0047,7.734,0.0047,18.67,0.0047,36.93,0.0047,58.106,0.0047,129.674,,,,
0.0048,0,0.0048,1.08,0.0048,2.402,0.0048,4.616,0.0048,7.816,0.0048,18.925,0.0048,37.237,0.0048,58.515,0.0048,131.393,,,,
0.0049,0,0.0049,1.093,0.0049,2.429,0.0049,4.681,0.0049,7.897,0.0049,19.181,0.0049,37.544,0.0049,58.924,0.0049,133.112,,,,
0.005,0.266,0.005,1.105,0.005,2.455,0.005,4.747,0.005,7.979,0.005,19.437,0.005,37.851,0.005,59.333,0.005,134.83,,,,
0.0051,0.268,0.0051,1.117,0.0051,2.486,0.0051,4.804,0.0051,8.061,0.0051,19.744,0.0051,38.158,0.0051,60.152,0.0051,136.283,,,,
0.0052,0.27,0.0052,1.129,0.0052,2.517,0.0052,4.861,0.0052,8.143,0.0052,20.051,0.0052,38.464,0.0052,60.97,0.0052,137.735,,,,
0.0053,0.272,0.0053,1.142,0.0053,2.547,0.0053,4.919,0.0053,8.225,0.0053,20.358,0.0053,38.771,0.0053,61.789,0.0053,139.188,,,,
0.0054,0.274,0.0054,1.154,0.0054,2.578,0.0054,4.976,0.0054,8.307,0.0054,20.664,0.0054,39.078,0.0054,62.607,0.0054,140.641,,,,
0.0055,0.276,0.0055,1.166,0.0055,2.609,0.0055,5.033,0.0055,8.389,0.0055,20.971,0.0055,39.385,0.0055,63.425,0.0055,142.093,,,,
0.0056,0.278,0.0056,1.178,0.0056,2.639,0.0056,5.09,0.0056,8.47,0.0056,21.278,0.0056,39.692,0.0056,64.244,0.0056,143.546,,,,
