6mm Copper Pipe,,8mm Copper Pipe,,10mm Copper Pipe,,15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0031,0,0.0031,0,0.0031,0,0.0031,0.274,0.0031,1.043,0.0031,2.478,0.0031,4.583,0.0031,7.897,0.0031,17.493,0.0031,33.534,0.0031,53.537,0.0031,119.69
0.0032,0,0.0032,0,0.0032,0,0.0032,0.282,0.0032,1.064,0.0032,2.521,0.0032,4.665,0.0032,8.02,0.0032,17.8,0.0032,34.127,0.0032,54.39,0.0032,121.736
0.0033,0,0.0033,0,0.0033,0,0.0033,0.291,0.0033,1.084,0.0033,2.564,0.0033,4.747,0.0033,8.143,0.0033,18.107,0.0033,34.72,0.0033,55.244,0.0033,123.782
0.0034,0,0.0034,0,0.0034,0,0.0034,0.299,0.0034,1.105,0.0034,2.607,0.0034,4.829,0.0034,8.266,0.0034,18.414,0.0034,35.314,0.0034,56.097,0.0034,125.828
0.0035,0,0.0035,0,0.0035,0,0.0035,0.307,0.0035,1.125,0.0035,2.65,0.0035,4.91,0.0035,8.389,0.0035,18.721,0.0035,35.907,0.0035,56.95,0.0035,127.874
0.0036,0,0.0036,0,0.0036,0,0.0036,0.315,0.0036,1.146,0.0036,2.693,0.0036,4.992,0.0036,8.511,0.0036,19.028,0.0036,36.5,0.0036,57.803,0.0036,129.92
0.0037,0,0.0037,0,0.0037,0,0.0037,0.323,0.0037,1.166,0.0037,2.735,0.0037,5.074,0.0037,8.634,0.0037,19.335,0.0037,37.094,0.0037,58.656,0.0037,131.966
0.0038,0,0.0038,0,0.0038,0,0.0038,0.331,0.0038,1.187,0.0038,2.778,0.0038,5.156,0.0038,8.757,0.0038,19.641,0.0038,37.687,0.0038,59.509,0.0038,134.012
0.0039,0,0.0039,0,0.0039,0,0.0039,0.34,0.0039,1.207,0.0039,2.821,0.0039,5.238,0.0039,8.88,0.0039,19.948,0.0039,38.28,0.0039,60.363,0.0039,136.058
0.004,0,0.004,0,0.004,0,0.004,0.348,0.004,1.228,0.004,2.864,0.004,5.32,0.004,9.002,0.004,20.255,0.004,38.874,0.004,61.216,0.004,138.104
0.0041,0,0.0041,0,0.0041,0,0.0041,0.352,0.0041,1.244,0.0041,2.909,0.0041,5.387,0.0041,9.121,0.0041,20.521,0.0041,39.201,0.0041,62.051,0.0041,140.047
